rank,gene,mean_instability_score,peak_pseudotime,primary_archetype
1,Col6a3,0.1583,0.02,A4
2,Col3a1,0.1488,0.02,A4
3,Col5a1,0.1355,0.02,A4
4,Col1a1,0.1335,0.02,A4
5,Col6a1,0.1308,0.02,A4
6,Serpinf1,0.1265,0.02,A4
7,Crabp1,0.1201,0.256,A2
8,Fst,0.1175,0.319,A2
9,Col6a2,0.1174,0.02,A4
10,Thbs1,0.1057,0.319,A2
11,Loxl1,0.1039,0.02,A4
12,Col1a2,0.1015,0.02,A4
13,Col5a2,0.1007,0.02,A4
14,Cthrc1,0.1006,0.02,A4
15,Nrep,0.0988,0.17,A2
