rank,gene,mean_instability_score,peak_pseudotime,primary_archetype
1,Tagln,0.0979,0.666,A5
2,Ccl7,0.0874,0.319,A5
3,Id3,0.0862,0.29,A5
4,Gpx3,0.0841,0.411,A4
5,Acta2,0.0831,0.363,A5
6,Mdk,0.0809,0.609,A2
7,Aldh3a1,0.078,0.314,A5
8,H19,0.0776,0.609,A2
9,Actg2,0.0776,0.666,A5
10,Anxa8,0.0764,0.671,A5
11,Meg3,0.0762,0.329,A5
12,Myl9,0.0757,0.034,A3
13,1500015O10Rik,0.0736,0.334,A5
14,Gsta4,0.0726,0.252,A5
15,Col1a2,0.0716,0.483,A2
