rank,gene,mean_instability_score,peak_pseudotime,primary_archetype
1,Cdkn2a,0.2504,0.753,A2
2,Gas6,0.2133,0.589,A2
3,Lmo4,0.2091,0.908,A5
4,Id3,0.2056,0.343,A3
5,Mxra8,0.1962,0.613,A2
6,Tmem176b,0.1884,0.7,A2
7,Wisp2,0.1877,0.599,A2
8,Abcb1b,0.1747,0.917,A5
9,Ptgs2,0.169,0.946,A5
10,Myc,0.1678,0.628,A2
11,Cdkn2b,0.1645,0.647,A2
12,Phlda1,0.164,0.932,A5
13,Ereg,0.162,0.898,A5
14,Col8a1,0.1611,0.512,A2
15,Tmem176a,0.1602,0.695,A2
